"Academic", "Universitario"
"Add employee", "Añadir empleado"
"Address", "Dirección"
"Admission Date", "Fecha de admisión"
"Age", "Edad"
"All average age", "Promedio de edad total"
"An error occurred while editing the employee.", "Ocurrió un error al editar el empleado."
"Autodidact", "Autodidacta"
"Average age", "Promedio de edad"
"Back", "Volver"
"Birth Date", "Cumpleaños"
"Contract", "Contrato"
"Create new employee", "Crear nuevo empleado"
"days", "días"
"Data employee", "Datos del empleado/a"
"Designer", "Diseñador"
"Delete", "Eliminar"
"Delete employee/s", "Eliminar empleado(s)"
"Delete selected?", "¿Eliminar seleccionado?"
"Details", "Detalles"
"Developer", "Desarrollador"
"Discharge Date", "Fecha de egreso"
"Edit", "Editar"
"Edit employee", "Editar empleado"
"Employee Details (Id #%1)", "Detalles del Empleado/a (Nro #%1)"
"Employee has been deleted.", "El empleado fue eliminado correctamente"
"Employee Information", "Información del Empleado/a"
"Employee Details", "Detalle del Empleado"
"Employees deleted.", "Empleados eliminados"
"Employees Management", "Gestión de empleados"
"Error occurred. Not delete the employee.", "Ocurrió un error. No se pudo eliminar el empleado"
"External", "Externo"
"Family", "Familia"
"Fulltime", "Jornada completa"
"Graphic", "Gráfico"
"Holidays", "Vacaciones"
"Job Information", "Información del Trabajo"
"Last Name", "Apellido"
"Mass Delete", "Eliminar varios"
"Married", "Casado/a"
"More info", "Más info"
"Name", "Nombre"
"No employees selected.", "No hay empleados seleccionados."
"Not apply", "No aplica"
"Only letters (uppercase and lowercase) are allowed.", "Sólo se permiten letras (mayúsculas y minúsculas)."
"Parttime", "Jornada parcial"
"Permanent", "Permanente"
"Phone", "Teléfono"
"Please select", "Seleccionar"
"Please try again.", "Por favor, intente nuevamente"
"Position", "Posición"
"Reset", "Reiniciar"
"Save", "Guardar"
"Save employee", "Guardar empleado"
"Secondary", "Secundario"
"Selected employees average age: ", "Promedio de edad de los empleados seleccionados: "
"Sector", "Sector"
"Seniority", "Nivel"
"Single", "Soltero/a"
"Social Work", "Obra social"
"Studies", "Estudios"
"Tertiary", "Terciario"
"This is a required field.", "Campo requerido"
"Total employees average age: ", "Promedio de edad de todos los empleados: "
"Total list employees", "Lista total de empleados"
"Type", "Tipo"
"Type Contract", "Tipo de contrato"
"Unable find a employee to delete.", "No se pudo encontrar el empleado a eliminar"
"Unable to find a employee to edit.", "No se pudo encontrar el empleado a editar"
"Unable to find a employee to view.", "No se encontró el empleado"
"View", "Ver"
"View employee", "Ver empleado"
"Work Time", "Tiempo de trabajo"
" years", " años"
