"Add to Cart", "Agregar al carrito"
"Apply Discount Code", "Aplicar código de descuento"
"Apply Discount", "Aplicar descuento"
"Clear Shopping Cart","Limpiar carrito"
"Continue Shopping","Seguir comprando"
"Country", "Pais"
"Enter discount code", "Ingresar código"
"Enter your destination to get a shipping estimate.", "Ingrese su destino para obtener una estimación de envío."
"Estimate Shipping and Tax", "Estimar gastos de envío e impuestos"
"Item", "Articulo"
"More Choices:", "Más opciones:"
"Order Total", "Total del pedido"
"Price", "Precio"
"Proceed to Checkout", "Proceder al pago"
"Qty", "Cantidad"
"Shopping Cart Items","Artículos del carrito"
"Shopping Cart", "Carrito de compras"
"Size", "Talle"
"State/Province", "Estado/Provincia"
"Summary", "Resumen"
"Update Shopping Cart","Actualizar carrito"
"Zip/Postal Code", "Código postal"
